Company Name,Contact First Name,Contact Last Name,Email,Phone,Lead Status,City,State,Website,Notes,Source Database,Business Type,Channel,Reply Received,Reply Summary,Date First Contacted,Notion URL
Lionshead General Store,,,info@lionsheadgeneralstore.com,,Contacted,,,,⚠️ Email bounced (info@lionsheadgeneralstore.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e817ea2c4f4f2467b0a9b
Fuzziwig's Candy Factory,,,wdg@fuzziwigs.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81829acefb2b601955a9
Stowe Mercantile,,,info@stowemercantile.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e818d8312e0a6ab89aaf7
Cinnamon Bear Country Store,,,info@cinnamonbearstores.com,,Contacted,,,,⚠️ Email bounced (info@cinnamonbearstores.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8198939afe8b5cf508d5
Grange Co,,,info@grangecoop.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e819d88f5edec7ee8b316
Country Cousin,,,scott@countrycousinketchum.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e819db52cd66bbcf34fa6
Montana Gift Corral,,,newproduct@giftcorral.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81abbd5ada5503d4c7c0
Eddie's Cafe & Mercantile,,,hello@eddiescafegifts.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81aeb6d2e2dda25b10fc
Niagara Falls State Park Gift Shops,,,mbarnes@delawarenorth.com,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e81b5a56edb7c88ff9e48
The Chocolate Foundry at Sun Valley,,,dining@sunvalley.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81bcbba5eb414214c013
The Candy Man,,,info@thecandymanmaine.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81d4a62cf4cf0db746e0
MADE & Mursell's,,,info@madejacksonhole.com,,Contacted,,,,⚠️ Email bounced (info@madejacksonhole.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81d5b9feff4b65afb5d6
Park City Souvenir Co,,,info@parkcitysouvenir.com,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81e6b088db9e30dad926
Palmetto Dunes General Store,,,info@palmettodunes.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81f5a7d1e2a31121e651
Sheetz,,,kwillis@sheetz.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8106aeabd7bcabdb863d
Atwoods Ranch & Home,,,info@atwoods.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e8106bfaacca097718691
Grange Supply,,,belma@grangesupply.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e810794a6c9826143f65a
Tackle Direct,,,sales@tackledirect.com,,Responded,,,,Reply from: TackleDirect Customer Service <sales@tackledirect.,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,Yes,,2026-04-06,https://www.notion.so/33a4c0c42c2e810f82ebc32a0b69b0b2
Natural Grocers (Vitamin Cottage),,,jesse@naturalgrocers.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-04,https://www.notion.so/33a4c0c42c2e811c9d2acdf0008bb496
RaceTrac,,,procurement@racetrac.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e812795decc46de683970
SCHEELS Food & Drink Section,,,customerservice@scheels.com,,Responded,,,,Reply from: SCHEELS Customer Service <contactus@scheels.com>,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,Yes,,2026-04-05,https://www.notion.so/33a4c0c42c2e812fb3a3cb48537de589
REI Co,,,member@rei.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e813a87fccf0cc3797d96
Fleet Farm,,,customerservice@fleetfarm.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e814c9a8cfeb0a2ff07ba
Cape Cod Potato Chip gift shop / visitor center,,,orders@capecodprovisions.com,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8155b215e291c89916f5
Herschend Family Entertainment (corporate),,,nkitts@hfecorp.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e815fb6f6c846e56ad0df
Sierra Trading Post,,,eweiner@sierra.com,,Contacted,,,,⚠️ Email bounced (eweiner@sierra.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8169aed3c5a017d118de
Buchheit's,,,info@buchheits.com,,Contacted,,,,⚠️ Email bounced (info@buchheits.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e81769f8def368df04e87
Orvis,,,perrinok@orvis.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e817abaf8dedf669a20cf
C-A-L Ranch Stores,,,info@calranch.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e818891ebdae51075aafd
Sportsman's Warehouse,,,customerservice@sportsmans.com,,Responded,,,,"Reply from: ""Sportsman's Warehouse Customer Service"" <customer",B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,Yes,,2026-04-05,https://www.notion.so/33a4c0c42c2e81928b01e8ac1116c3a2
Skagit Country Stores,,,info@skagitfarmers.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e81989e44daa1052f5d78
Mark's Outdoor Sports (Vestavia Hills AL),,,jeremy@marksoutdoors.com,,Contacted,,,,⚠️ Email bounced (jeremy@marksoutdoors.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e819bb137d30fc0558c00
Ripley Entertainment Inc.,,,attractions@ripleys.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81a9a6e6c5c8c5b940e8
Cavender's Stores,,,customercare@cavenders.com,,Contacted,,,,⚠️ Email bounced (customercare@cavenders.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e81e3a944e8535c6b345b
Made In America Store,,,info@madeinamericastore.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e81e68a8ac35646c6ded4
Tractor Supply Co.,,,customersolutions@tractorsupply.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e81ed8543eb8a89ba1fbf
IFA Country Stores,,,contact@ifa.coop,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e81ed9d03e8072f568c55
Rural King,,,customerservice@ruralking.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e81f2b5b2f8aed84f307c
Coastal Farm & Ranch,,,customerservice@coastalfarm.com,,Contacted,,,,⚠️ Email bounced (customerservice@coastalfarm.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e81f882c3f78f69a37d56
New Seasons Market,,,itemmaintenance@newseasonsmarket.com,,Contacted,,,,,B2B Prospect Pipeline,Specialty Grocery,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81159351e21232edf8e4
Sheetz convenience stores,,,jcampbell@sheetz.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e812d808ee143c621fd5a
Colonial Williamsburg Foundation,,,shart@cwf.org,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e813abf3ed10c8d8e633e
West Marine,,,jeffd@westmarine.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8140a988e8864da46654
Liberty Bell / Independence Hall gift shop,,,info@phlvisitorcenter.com,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8149a7efdd41d2b8c916
Do it Best Hardware (co,,,sales.support@doitbest.com,,Responded,,,,Reply from: Sales Support Mailbox <sales.support@doitbest.com>,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,Yes,,2026-04-06,https://www.notion.so/33a4c0c42c2e814e96c1fdb59a7e471f
Dylan's Candy Bar,,,customerservice@dylanscandybar.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8165a647ce5d47d4a54f
Palace Station / Station Casinos gift shops,,,la-reese.turner@stationcasinos.com,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e816d9c79faa8d15cf959
Monterey Bay Aquarium,,,directsales@mbayaq.org,,Contacted,,,,⚠️ Email bounced (directsales@mbayaq.org),B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e817180b1c216d894df04
Hammond's Candies,,,aschuman@hammondscandies.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8174a418e23172857022
Uwajimaya,,,sofiachambers@uwajimaya.com,,Contacted,,,,⚠️ Email bounced (sofiachambers@uwajimaya.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8187b12dd909c8858dcc
QuikTrip,,,dg-qtkinvoices@quiktrip.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8190be26cd71848bd7cc
Portland Saturday Market,,,membership@saturdaymarket.org,,Contacted,,,,,B2B Prospect Pipeline,Specialty Grocery,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e819293aad2e27462a1ce
Old Time Candy Company,,,service@oldtimecandy.com,,Contacted,,,,⚠️ Email bounced (service@oldtimecandy.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e819db302e4961a78aa33
Pike Place Market vendors,,,emily.crawford@pikeplacemarket.org,,Contacted,,,,⚠️ Email bounced (emily.crawford@pikeplacemarket.org),B2B Prospect Pipeline,Specialty Grocery,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81a8bee1f53c1d8ea34a
Kennedy Space Center (Delaware North),,,spaceshop@delawarenorth.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81ab8000ffed25ac0501
Luray Caverns (VA),,,info@luraycaverns.com,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81ac94e5cf1c1a3d53cc
Wawa,,,james.pilla@wawa.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81b495fae7b50fa3d268
Town & Country Markets,,,info@townandcountrymarkets.com,,Contacted,,,,⚠️ Email bounced (info@townandcountrymarkets.com),B2B Prospect Pipeline,Specialty Grocery,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81c39c09fc628e5017f6
Rock City / Lookout Mountain (GA/TN),,,info@seerockcity.com,,Contacted,,,,⚠️ Email bounced (info@seerockcity.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81d1bc80d8d4dcbb8c2e
Gatlinburg SkyBridge / SkyLift Park,,,christopher.johnson@gatlinburgskypark.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81e09d9bffc44e0eba67
Pier 39 (San Francisco),,,kathy@pier39.com,,Contacted,,,,⚠️ Email bounced (kathy@pier39.com),B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81e48b63c082f30df318
Museum of Science (Boston),,,mosstore@eventnetwork.com,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81e98107e5766f1cdfbe
Tennessee Aquarium (Chattanooga),,,info@tnaqua.org,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81eb9657c05b9aa78681
Pearl Harbor National Memorial gift shop,,,perl_commercial_services@nps.gov,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81fea599c977c06a7586
Estes Park Village (shops),,,carey@cabintique.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-03,https://www.notion.so/33a4c0c42c2e81079e62f830a331545e
National Naval Aviation Museum (Pensacola) Gift Shop,,,vmiller@navalaviationmuseum.org,,Responded,,,,Reply from: Valerie Miller <VMiller@navalaviationmuseum.org>,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,Yes,,2026-04-03,https://www.notion.so/33a4c0c42c2e8112ba06dedfbf051868
Henry Doorly Zoo (Omaha) Gift Shop,,,giftshop@omahazoo.com,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-03,https://www.notion.so/33a4c0c42c2e81169e46ca1bcf2d42db
Stone Mountain Park (GA) Gift Shop,,,gabrielle.guice@stonemountainpark.com,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-03,https://www.notion.so/33a4c0c42c2e811cb528ee7f1a1d79f5
Cedar Fair (Cedar Point etc) Gift Shop,,,merchandise@cedarpoint.com,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-03,https://www.notion.so/33a4c0c42c2e8129811df3cb989e15a2
Wilco Farm Stores,,,cc@wilco.coop,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,,https://www.notion.so/33a4c0c42c2e813d9f11c88d26956e19
Niagara Falls State Park shops,,,info@niagarafallsusa.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-03,https://www.notion.so/33a4c0c42c2e8141bb0dd7dfd48b464b
Brookfield Zoo (Chicago) Gift Shop,,,info@brookfieldzoo.org,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-03,https://www.notion.so/33a4c0c42c2e81448043cbf1ea62db92
Coastal Farm & Ranch Checkout,,,customer.service@coastalcountry.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,,https://www.notion.so/33a4c0c42c2e815a8699f00a75ddba75
Haggen Food & Pharmacy,,,info@haggen.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e815d801bce08530d6fb5
Meow Wolf,,,jose.tolosa@meowwolf.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e815e90c0e9f196c11128
Fred Meyer (Kroger),,,edibiz@fredmeyer.com,,Contacted,,,,,B2B Prospect Pipeline,Specialty Grocery,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8163a783c76273f96008
National Cowboy Museum (OKC) Gift Shop,,,info@thecowboy.org,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-03,https://www.notion.so/33a4c0c42c2e816c8724e131106d06b8
Knoebels Amusement Resort Gift Shop,,,contact@knoebels.com,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-03,https://www.notion.so/33a4c0c42c2e81728c15ec0c2685924c
Stew Leonard's,,,dderivan@stewleonards.com,,Contacted,,,,⚠️ Email bounced (dderivan@stewleonards.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8175b2dfd37773f4468b
Ripley's Aquarium (Myrtle Beach) Gift Shop,,,media@ripleys.com,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-03,https://www.notion.so/33a4c0c42c2e817aa1d3e1a0027fa2e6
SeaWorld / Busch Gardens Gift Shop,,,webmaster@seaworld.com,,Contacted,,,,,B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-03,https://www.notion.so/33a4c0c42c2e81878ce5da3781d46daa
Cascade Farm and Outdoor,,,info@cascadefarmandoutdoor.com,,Contacted,,,,⚠️ Email bounced (info@cascadefarmandoutdoor.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,,https://www.notion.so/33a4c0c42c2e818fa3fbcfbdd85d7e00
Boot Barn Checkout,,,lsuthers@bootbarn.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,,https://www.notion.so/33a4c0c42c2e81acb7f0eea6f62deaa4
Ozark Natural Foods,,,heather@onf.coop,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-03,https://www.notion.so/33a4c0c42c2e81cdbbbbd23c3bde0e23
Delivery Dashboard — 34 Distributor Samples + Inderbitzin PO #009180 (Week of 3/23),,,,,,,,,,Distributor Pipeline,Distributor,Distribution,No,,,https://www.notion.so/32b4c0c42c2e8193bed6c3371788d10b
Core-Mark International (PFG),,,,,Outreach Sent,South San Francisco,,,UPS tracking: 1Z0762WC0320301879. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/20.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81009246f50cdf769be7
McLane Company Inc. (Merced),,,,,Outreach Sent,Merced,,,UPS tracking: 1Z0762WC0322214317. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/20.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e810ea733c7bd425be446
Weaver Nut Company Inc.,,,,,Outreach Sent,Ephrata,,,UPS tracking: 1Z0762WC0339561232. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/24.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e8118a002da69f812ffb0
Food Pro Distributing,,,,,Outreach Sent,Las Vegas,,,NV. UPS tracking: 1Z0762WC0338231304. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/23.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e811a9052f9ecd2ed64cd
Atlantic Dominion Distributors,,,,,Outreach Sent,Virginia Beach,,,UPS tracking: 1Z0762WC0302176101. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/25.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e8120a4d7fbedfde1b98b
APP Wholesale LLC,,,,,Outreach Sent,Los Angeles,,,UPS tracking: 1Z0762WC0337500971. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/23.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e8122b5cbe7ec74e255af
Capitol Distributing,,,,,Outreach Sent,Caldwell,,,UPS tracking: 1Z0762WC0333752162. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/20.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e814497d2efa9f35aa603
Foodsnacks Distributors,,,,,Outreach Sent,Burlingame,,,UPS tracking: 1Z0762WC0327926138. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/20.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e8146aa7ce9f35afdc753
D & M Distributing,,,,,Outreach Sent,Ogden,,,UPS tracking: 1Z0762WC0335235931. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/20.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81529a54ed3271e780cc
Vern's & Son Inc.,,,,,Outreach Sent,Hermiston,,,UPS tracking: 1Z0762WC0338094203. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/19.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e815480e2f01bcf1f7167
URM Stores Inc.,,,,,Outreach Sent,Spokane,,,UPS tracking: 1Z0762WC0322362774. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/19.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e8158a84fd29ac8d5f202
